ticker,name,market,krx_sector,internal_sector,sector_group,source,asof,is_manual,notes
032640,LG유플러스,KOSPI,,telecom,telecom,name_inference,,false,
032830,삼성생명,KOSPI,,unknown,unknown,unknown,,false,
033240,자화전자,KOSPI,,semiconductor,semiconductor,name_inference,,false,
033780,KT&G,KOSPI,,telecom,telecom,name_inference,,false,
034020,두산에너빌리티,KOSPI,,financial,financial,name_inference,,false,
034220,LG디스플레이,KOSPI,,unknown,unknown,unknown,,false,
034230,파라다이스,KOSPI,,unknown,unknown,unknown,,false,
034730,SK,KOSPI,,unknown,unknown,unknown,,false,
035250,강원랜드,KOSPI,,unknown,unknown,unknown,,false,
035420,NAVER,KOSPI,,unknown,unknown,unknown,,false,
035720,카카오,KOSPI,,unknown,unknown,unknown,,false,
036460,한국가스공사,KOSPI,,unknown,unknown,unknown,,false,
036530,SNT홀딩스,KOSPI,금융업,지주/산업재지주,holding_company,manual,2026-07-02,true,current_holding
036570,NC,KOSPI,,unknown,unknown,unknown,,false,
039130,하나투어,KOSPI,,unknown,unknown,unknown,,false,
039490,키움증권,KOSPI,금융업,증권/금융지주,financial,manual,2026-07-02,true,alpha_shortlist
042660,한화오션,KOSPI,,unknown,unknown,unknown,,false,
042700,한미반도체,KOSPI,,semiconductor,semiconductor,name_inference,,false,
047040,대우건설,KOSPI,,unknown,unknown,unknown,,false,
047050,포스코인터내셔널,KOSPI,,unknown,unknown,unknown,,false,
047810,한국항공우주,KOSPI,,transport,transport,name_inference,,false,
051600,한전KPS,KOSPI,,unknown,unknown,unknown,,false,
051900,LG생활건강,KOSPI,,unknown,unknown,unknown,,false,
051910,LG화학,KOSPI,,industrial,industrial,name_inference,,false,
052690,한전기술,KOSPI,,unknown,unknown,unknown,,false,
055550,신한지주,KOSPI,금융업,은행/금융지주,financial,manual,2026-07-02,true,alpha_candidate
062040,산일전기,KOSPI,,unknown,unknown,unknown,,false,
064350,현대로템,KOSPI,,unknown,unknown,unknown,,false,
064400,LG씨엔에스,KOSPI,,unknown,unknown,unknown,,false,
064960,SNT모티브,KOSPI,,unknown,unknown,unknown,,false,
066570,LG전자,KOSPI,,semiconductor,semiconductor,name_inference,,false,
066970,엘앤에프,KOSPI,,unknown,unknown,unknown,,false,
068270,셀트리온,KOSPI,,financial,financial,name_inference,,false,
069260,TKG휴켐스,KOSPI,,unknown,unknown,unknown,,false,
069620,대웅제약,KOSPI,,unknown,unknown,unknown,,false,
069960,현대백화점,KOSPI,,unknown,unknown,unknown,,false,
071050,한국금융지주,KOSPI,금융업,증권/금융지주,financial,manual,2026-07-02,true,alpha_candidate
071970,HD현대마린엔진,KOSPI,,unknown,unknown,unknown,,false,
073240,금호타이어,KOSPI,,industrial,industrial,name_inference,,false,
075580,세진중공업,KOSPI,,unknown,unknown,unknown,,false,
077970,STX엔진,KOSPI,,unknown,unknown,unknown,,false,
078930,GS,KOSPI,금융업,지주/에너지,holding_company,manual,2026-07-02,true,alpha_shortlist
079160,CJ CGV,KOSPI,,unknown,unknown,unknown,,false,
079550,LIG디펜스앤에어로스페이스,KOSPI,,unknown,unknown,unknown,,false,
079900,전진건설로봇,KOSPI,,unknown,unknown,unknown,,false,
081660,미스토홀딩스,KOSPI,,holding,holding,name_inference,,false,
082740,한화엔진,KOSPI,,unknown,unknown,unknown,,false,
085620,미래에셋생명,KOSPI,,unknown,unknown,unknown,,false,
086280,현대글로비스,KOSPI,,unknown,unknown,unknown,,false,
086790,하나금융지주,KOSPI,금융업,은행/금융지주,financial,manual,2026-07-02,true,alpha_shortlist
088350,한화생명,KOSPI,보험,생명보험,insurance,manual,2026-07-06,true,top10_unknown_fix
090430,아모레퍼시픽,KOSPI,,unknown,unknown,unknown,,false,
090460,비에이치,KOSPI,,unknown,unknown,unknown,,false,
093370,후성,KOSPI,,unknown,unknown,unknown,,false,
096770,SK이노베이션,KOSPI,,unknown,unknown,unknown,,false,
097230,HJ중공업,KOSPI,,unknown,unknown,unknown,,false,
097950,CJ제일제당,KOSPI,,unknown,unknown,unknown,,false,
100090,SK오션플랜트,KOSPI,,unknown,unknown,unknown,,false,
100840,SNT에너지,KOSPI,,energy,energy,name_inference,,false,
103140,풍산,KOSPI,,unknown,unknown,unknown,,false,
103590,일진전기,KOSPI,,unknown,unknown,unknown,,false,
105560,KB금융,KOSPI,금융업,은행/금융지주,financial,manual,2026-07-02,true,alpha_candidate
108320,LX세미콘,KOSPI,,unknown,unknown,unknown,,false,
