date,ticker,name,foreign_net_value,institution_net_value,retail_net_value,program_net_value,foreign_5d_sum,institution_5d_sum,foreign_20d_sum,institution_20d_sum,foreign_5d_mcap_pct,institution_5d_mcap_pct,foreign_20d_mcap_pct,institution_20d_mcap_pct,flow_score,flow_signal,source,staleness_days
2026-07-09,039490,키움증권,0.0,0.0,0.0,0.0,-55644459250.0,74620916250.0,-100231988750.0,116965213500.0,-0.6650600119963865,0.891865751330962,-1.197968109295566,1.3979628401810718,20.0,DISTRIBUTION,cache_stale,1
2026-07-06,039830,오로라,0.0,0.0,0.0,0.0,878811500.0,-107530280.0,2490038045.0,-362397645.0,0.4002549045659597,-0.04897469134092001,1.134088413803283,-0.16505409273138044,80.0,ACCUMULATION,auto_pykrx,0.0
2026-07-03,041190,우리기술투자,13579460.0,-16261977.0,-48063103.0,9225850.0,1510880300.0,1249576883.0,4606482775.0,2074827443.0,0.3704772448629297,0.3064040221176009,1.1295382215192977,0.5087605911921926,80.0,ACCUMULATION,cache_stale,2.0
2026-07-08,041510,에스엠,0.0,0.0,0.0,0.0,-15797631600.0,28095836200.0,13108540150.0,-3281599150.0,-0.8414791547840963,1.4965572749859806,0.6982415823569016,-0.17479818171492295,20.0,DISTRIBUTION,auto_pykrx,0.0
2026-07-02,042660,한화오션,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-02,042700,한미반도체,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-02,047040,대우건설,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-02,047050,포스코인터내셔널,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-02,047810,한국항공우주,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-02,051600,한전KPS,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-08,051900,LG생활건강,0.0,0.0,0.0,0.0,17995348500.0,14415456000.0,27838480250.0,14307358000.0,0.5102550971124787,0.40874784398872105,0.7893554516839488,0.4056827432774086,80.0,ACCUMULATION,cache_stale,2
2026-07-08,051910,LG화학,0.0,0.0,0.0,0.0,-247221500.0,-26063259750.0,221826641000.0,-146062651750.0,-0.0012507502811904523,-0.1318600099952969,1.1222718639207492,-0.7389644620218534,80.0,ACCUMULATION,cache_stale,2
2026-07-06,052400,코나아이,0.0,0.0,0.0,0.0,-2280141725.0,2150642400.0,-14131373200.0,7639157750.0,-0.33276886590868227,0.31386945143645695,-2.0623634846629306,1.114875375110738,20.0,DISTRIBUTION,cache_stale,1.0
2026-07-02,052690,한전기술,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-09,055550,신한지주,0.0,0.0,0.0,0.0,-142261580900.0,231914604300.0,-38166854850.0,238386635450.0,-0.27246923347890806,0.444178913705473,-0.0730998040334602,0.4565745960487733,20.0,DISTRIBUTION,cache_stale,1
2026-07-02,062040,산일전기,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-02,064350,현대로템,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-08,064400,LG씨엔에스,0.0,0.0,0.0,0.0,6684078350.0,19631733100.0,-13246447750.0,-14724555100.0,0.09018188396382763,0.264872220780152,-0.1787216653322751,-0.19866435578918465,20.0,DISTRIBUTION,cache_stale,2
2026-07-02,064960,SNT모티브,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-08,066570,LG전자,0.0,0.0,0.0,0.0,95475697600.0,26335400500.0,-1912418531950.0,-221302927250.0,0.3016754107094301,0.08321219914328053,-6.04268584128514,-0.6992528271334975,20.0,DISTRIBUTION,cache_stale,2
2026-07-02,066970,엘앤에프,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-02,068270,셀트리온,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-02,069260,TKG휴켐스,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-02,069620,대웅제약,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-02,069960,현대백화점,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-09,071050,한국금융지주,0.0,0.0,0.0,0.0,-32121567400.0,115582036750.0,-6662529700.0,149129480750.0,-0.2528157193574224,0.909698938469213,-0.052438046309212526,1.1737371493649504,20.0,DISTRIBUTION,cache_stale,1
2026-07-08,071970,HD현대마린엔진,0.0,0.0,0.0,0.0,-29843461300.0,28189256750.0,-41700570900.0,24038993000.0,-1.3289731850189765,1.2553090256445951,-1.856987698879374,1.0704916822720856,20.0,DISTRIBUTION,cache_stale,2
2026-07-02,073240,금호타이어,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-02,075580,세진중공업,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-02,077970,STX엔진,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-06,078150,HB테크놀러지,-7057012.0,-7220.0,-15275118.0,1289350.0,1034526178.0,3875829.0,-4930646365.0,23588641.0,0.5313343539995153,0.0019906321770502243,-2.5323881182128325,0.012115164984700352,20.0,DISTRIBUTION,cache_stale,1.0
2026-07-09,078930,GS,0.0,0.0,0.0,0.0,-37124813550.0,56534341050.0,8222180350.0,24651368200.0,-0.5123597738264091,0.7802307789314964,0.11347436018263705,0.3402136799543208,20.0,DISTRIBUTION,cache_stale,1
2026-07-08,079160,CJ CGV,0.0,0.0,0.0,0.0,324452340.0,-468374644.0,-4162918614.0,492252699.0,0.04433168942582716,-0.06399657728694562,-0.5688022317880119,0.06725916592585887,20.0,DISTRIBUTION,cache_stale,2
2026-07-08,079550,LIG디펜스앤에어로스페이스,0.0,0.0,0.0,0.0,-45389767000.0,50188870500.0,218604483500.0,107753916000.0,-0.2711131704694779,0.29977822542109667,1.3057250238920082,0.6436143590968821,20.0,DISTRIBUTION,cache_stale,2
2026-07-02,079900,전진건설로봇,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-03,081660,미스토홀딩스,0.0,0.0,0.0,0.0,-2099708675.0,6151789475.0,-23856965175.0,31037130050.0,-0.08597524734661592,0.25189285924983545,-0.9768538399072084,1.2708548403639068,20.0,DISTRIBUTION,cache_stale,1.0
2026-07-02,082740,한화엔진,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-02,085620,미래에셋생명,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-07,086280,현대글로비스,0.0,0.0,0.0,0.0,50941528700.0,-14375661900.0,46715153550.0,-66779553400.0,0.3599472086203851,-0.10157683730789614,0.3300841091679915,-0.47185693976329274,80.0,ACCUMULATION,cache_stale,2.0
2026-07-09,086790,하나금융지주,0.0,0.0,0.0,0.0,-82411974250.0,128126985500.0,10672969350.0,111834989750.0,-0.2470152036229952,0.3840378015562836,0.03199032326606636,0.33520544819701165,20.0,DISTRIBUTION,cache_stale,1
2026-07-09,088350,한화생명,0.0,0.0,0.0,0.0,-3666166120.0,2549029238.0,25434988005.0,5275055685.0,-0.093906924959459,0.06529204884265664,0.6515038958273596,0.13511778848915407,80.0,ACCUMULATION,cache_stale,1
2026-07-02,090430,아모레퍼시픽,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-02,090460,비에이치,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-10,091590,남화토건,0.0,0.0,0.0,0.0,-402963080.0,1514430.0,-925899441.0,882346.0,-0.3388345713560174,0.001273419986512644,-0.7785495887365441,0.0007419273465392824,20.0,DISTRIBUTION,auto_pykrx,0
2026-07-07,092730,네오팜,0.0,0.0,0.0,0.0,663430780.0,-225346065.0,379160420.0,-1393510240.0,0.20841901399143203,-0.07079322529194251,0.11911452296647625,-0.4377759352795838,80.0,ACCUMULATION,cache_stale,1.0
2026-07-02,093370,후성,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-02,096770,SK이노베이션,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-08,097230,HJ중공업,0.0,0.0,0.0,0.0,-21580793840.0,10208717505.0,-51307400550.0,65254818375.0,-1.1962076492136868,0.5658617592420624,-2.8439317596104017,3.6170269484500506,20.0,DISTRIBUTION,cache_stale,2
2026-07-08,097950,CJ제일제당,0.0,0.0,0.0,0.0,6404354550.0,11011419800.0,-21126282000.0,-20896517650.0,0.22485210472201847,0.3866027245489879,-0.7417279814170958,-0.7336611267037529,20.0,DISTRIBUTION,cache_stale,2
2026-07-02,100090,SK오션플랜트,,,,,,,,,,,,,0.0,STALE,template,999.0
