ticker,name,market,sector,listing_date,is_etf,is_spac,is_managed,is_halted,as_of
004060,SG세계물산,KOSPI,,,false,false,false,false,2026-07-19
001770,SHD,KOSPI,,,false,false,false,false,2026-07-19
002360,SH에너지화학,KOSPI,,,false,false,false,false,2026-07-19
009160,SIMPAC,KOSPI,,,false,false,false,false,2026-07-19
033530,SJG세종,KOSPI,,,false,false,false,false,2026-07-19
123700,SJM,KOSPI,,,false,false,false,false,2026-07-19
025530,SJM홀딩스,KOSPI,,,false,false,false,false,2026-07-19
034730,SK,KOSPI,,,false,false,false,false,2026-07-19
011790,SKC,KOSPI,,,false,false,false,false,2026-07-19
018670,SK가스,KOSPI,,,false,false,false,false,2026-07-19
001740,SK네트웍스,KOSPI,,,false,false,false,false,2026-07-19
006120,SK디스커버리,KOSPI,,,false,false,false,false,2026-07-19
006125,SK디스커버리우,KOSPI,,,false,false,false,false,2026-07-19
210980,SK디앤디,KOSPI,,,false,false,false,false,2026-07-19
395400,SK리츠,KOSPI,,,false,false,false,false,2026-07-19
302440,SK바이오사이언스,KOSPI,,,false,false,false,false,2026-07-19
326030,SK바이오팜,KOSPI,,,false,false,false,false,2026-07-19
402340,SK스퀘어,KOSPI,,,false,false,false,false,2026-07-19
361610,SK아이이테크놀로지,KOSPI,,,false,false,false,false,2026-07-19
100090,SK오션플랜트,KOSPI,,,false,false,false,false,2026-07-19
03473K,SK우,KOSPI,,,false,false,false,false,2026-07-19
096770,SK이노베이션,KOSPI,,,false,false,false,false,2026-07-19
096775,SK이노베이션우,KOSPI,,,false,false,false,false,2026-07-19
475150,SK이터닉스,KOSPI,,,false,false,false,false,2026-07-19
001510,SK증권,KOSPI,,,false,false,false,false,2026-07-19
001515,SK증권우,KOSPI,,,false,false,false,false,2026-07-19
285130,SK케미칼,KOSPI,,,false,false,false,false,2026-07-19
28513K,SK케미칼우,KOSPI,,,false,false,false,false,2026-07-19
017670,SK텔레콤,KOSPI,,,false,false,false,false,2026-07-19
000660,SK하이닉스,KOSPI,,,false,false,false,false,2026-07-19
003570,SNT다이내믹스,KOSPI,,,false,false,false,false,2026-07-19
064960,SNT모티브,KOSPI,,,false,false,false,false,2026-07-19
100840,SNT에너지,KOSPI,,,false,false,false,false,2026-07-19
036530,SNT홀딩스,KOSPI,,,false,false,false,false,2026-07-19
000390,SP삼화,KOSPI,,,false,false,false,false,2026-07-19
011810,STX,KOSPI,,,false,false,false,false,2026-07-19
