ticker,as_of,close,market_cap,volume,trading_value,avg_trading_value_20d,high_52w,low_52w,return_6m,volatility_1y,beta_kospi200
071050,2026-07-19,229000.0,12761252168000.0,171302,39228158000.0,61407889405.0,292500.0,125300.0,0.3431,64.89,
078930,2026-07-19,82800.0,7691746986000.0,369644,30606523200.0,28508477525.0,82800.0,43650.0,0.4476,48.34,
079550,2026-07-19,749000.0,16478000000000.0,130322,97611178000.0,123860962700.0,1020000.0,364500.0,0.3819,85.43,
080220,2026-07-19,81900.0,2820868022700.0,1495802,122506183800.0,333514968452.5,134000.0,13700.0,1.6678,98.99,
082740,2026-07-19,46900.0,3913670959800.0,600432,28160260800.0,41051429033.5,89500.0,25100.0,-0.0563,74.18,
084370,2026-07-19,146800.0,3364074965600.0,154096,22621292800.0,47735522885.0,206500.0,40500.0,0.7837,92.79,
086280,2026-07-19,188600.0,14145000000000.0,144018,27161794800.0,47250009035.0,290500.0,135200.0,-0.1673,56.5,
086520,2026-07-19,80000.0,10862092160000.0,772824,61825920000.0,135606221197.5,185000.0,44800.0,-0.0909,91.24,
086790,2026-07-19,136800.0,37533507926400.0,1109404,151766467200.0,117935290570.3,136800.0,81200.0,0.4726,40.35,
087010,2026-07-19,119200.0,2779428120000.0,218620,26059504000.0,54111332675.0,386000.0,108200.0,-0.5519,97.43,
088350,2026-07-19,4540.0,3943126200000.0,2132915,9683434100.0,16781368539.8,6600.0,2940.0,0.474,66.96,
088980,2026-07-19,10190.0,4880215108670.0,1130844,11523300360.0,21089116307.5,11830.0,9940.0,-0.0836,11.54,
090430,2026-07-19,124400.0,7276499219600.0,224697,27952306800.0,43292823247.5,165100.0,96200.0,0.0436,46.8,
095340,2026-07-19,145000.0,3073573410000.0,131090,19008050000.0,62733634657.5,271000.0,55500.0,0.3242,84.58,
095610,2026-07-19,194300.0,3761648000000.0,512694,99616444200.0,108959000720.0,217500.0,23900.0,2.7151,96.61,
096770,2026-07-19,121400.0,20523008463200.0,1851929,224824180600.0,64215196320.0,149800.0,89500.0,0.2177,56.02,
103590,2026-07-19,59500.0,2837280705000.0,216364,12873658000.0,26240738747.5,144100.0,33900.0,-0.0133,73.29,
105560,2026-07-19,181100.0,64233948627400.0,1299467,235333473700.0,283399948598.55,186200.0,106000.0,0.4305,40.53,
108490,2026-07-19,199900.0,2930739497200.0,128666,25720333400.0,40650006455.0,405000.0,67486.0,-0.174,105.9,
128940,2026-07-19,386000.0,4945042526000.0,85669,33068234000.0,44340482662.5,626000.0,270000.0,-0.1908,67.72,
138040,2026-07-19,118300.0,19797182395900.0,253679,30010225700.0,34545694765.0,146200.0,100600.0,0.1655,37.15,
138930,2026-07-19,18330.0,5688294514890.0,820582,15041268060.0,19281975199.75,22650.0,13750.0,0.198,35.43,
141080,2026-07-19,103700.0,3838913646600.0,275810,28601497000.0,71856176992.5,213500.0,103700.0,-0.4296,77.9,
161390,2026-07-19,73600.0,9117205078400.0,410147,30186819200.0,27712017193.8,75900.0,38100.0,0.2668,50.67,
175330,2026-07-19,27400.0,5158148201600.0,545705,14952317000.0,15978195941.25,37500.0,21750.0,0.1161,44.21,
178320,2026-07-19,39300.0,2501473964100.0,556446,21868327800.0,70976042798.75,80800.0,18650.0,0.5534,79.22,
180640,2026-07-19,113500.0,7577518666500.0,102983,11688570500.0,16293458482.5,173000.0,93900.0,-0.0173,68.24,
192400,2026-07-19,25550.0,908613826750.0,14819,378625450.0,415007300.0,34750.0,23600.0,-0.0776,30.69,
196170,2026-07-19,276500.0,14816623839500.0,312416,86383024000.0,180311943587.5,559000.0,276500.0,-0.4589,67.21,
207940,2026-07-19,1396000.0,64622167596000.0,29974,41843704000.0,80646373771.05,1965000.0,1243000.0,-0.2567,37.5,
214370,2026-07-19,61700.0,3314215500000.0,83729,5166079300.0,5997301517.5,150100.0,36500.0,-0.1223,93.62,
222800,2026-07-19,107400.0,4023626189400.0,493882,53042926800.0,106336387840.0,157300.0,21650.0,1.4919,99.54,
240810,2026-07-19,140700.0,6906104870700.0,1774585,249684109500.0,322061857690.0,183300.0,27100.0,0.876,107.51,
241560,2026-07-19,64300.0,6163544979500.0,226072,14536429600.0,15679285017.5,76700.0,52300.0,0.134,47.54,
247540,2026-07-19,112400.0,10996140781600.0,290976,32705702400.0,88944165690.0,246000.0,100300.0,-0.2079,75.8,
259960,2026-07-19,240500.0,11096148836500.0,90822,21842691000.0,29306525905.0,363500.0,204000.0,0.0457,42.25,
267250,2026-07-19,204500.0,16154085882500.0,119194,24375173000.0,38560175540.0,310500.0,123200.0,-0.0024,57.33,
267260,2026-07-19,797000.0,28729566595000.0,155320,123790040000.0,168244527776.5,1420000.0,437000.0,-0.0601,62.11,
267270,2026-07-19,130300.0,6244223179100.0,216711,28237443300.0,39077375134.9,198100.0,73200.0,0.1845,68.27,
271560,2026-07-19,128400.0,5075496379200.0,102380,13145592000.0,16248875150.0,146000.0,99300.0,0.2454,31.23,
272210,2026-07-19,65500.0,12374219979500.0,451856,29596568000.0,55454021965.0,162700.0,45350.0,-0.1482,89.5,
277810,2026-07-19,397000.0,7701743626000.0,47182,18731254000.0,42997691987.5,880000.0,253500.0,-0.1079,83.58,
278470,2026-07-19,393000.0,14713194915000.0,184615,72553695000.0,107168033565.0,459000.0,149500.0,0.7199,62.61,
298040,2026-07-19,2789000.0,26006164372000.0,52017,145075413000.0,191929172426.5,4601000.0,903000.0,0.4796,68.85,
298380,2026-07-19,75600.0,4232652202800.0,203800,15407280000.0,38624232897.5,245500.0,61800.0,-0.6303,92.67,
307950,2026-07-19,393000.0,10777624926000.0,75118,29521374000.0,51166265687.5,938000.0,148600.0,-0.1665,97.23,
310210,2026-07-19,145600.0,2682090174400.0,56334,8202230400.0,14978199710.0,363500.0,108500.0,-0.3683,82.18,
316140,2026-07-19,31500.0,22934824983000.0,1990997,62716405500.0,68919432548.75,40800.0,23450.0,0.1538,36.46,
319660,2026-07-19,195400.0,5660095915600.0,528525,103273785000.0,128654842137.5,211500.0,18180.0,3.5495,94.12,
323410,2026-07-19,23000.0,10973770051000.0,807081,18562863000.0,22502478739.0,32000.0,19750.0,0.0648,41.0,
326030,2026-07-19,79400.0,6218072050000.0,108271,8596717400.0,15009770252.5,140700.0,74600.0,-0.3653,48.79,
329180,2026-07-19,484000.0,50801232900000.0,278722,134901448000.0,186968226588.9,745000.0,377500.0,-0.2053,57.45,
336260,2026-07-19,44550.0,2917745493300.0,293466,13073910300.0,27533559468.75,101500.0,21950.0,0.4325,92.93,
347850,2026-07-19,68700.0,3149043738300.0,1048747,72048918900.0,140801308967.5,111200.0,29029.0,-0.3337,107.43,
352820,2026-07-19,208500.0,8986818916500.0,155840,32492640000.0,62867235259.25,404500.0,177800.0,-0.3701,49.05,
353200,2026-07-19,138000.0,6819535650000.0,1323005,182574690000.0,154375217657.5,190900.0,17470.0,2.2857,89.58,
373220,2026-07-19,334000.0,78156000000000.0,314975,105201650000.0,159578402812.5,514000.0,305000.0,-0.0799,60.47,
377300,2026-07-19,40900.0,5532548112500.0,187321,7661428900.0,9253464833.85,86700.0,37450.0,-0.1695,70.17,
402340,2026-07-19,1212000.0,159933563832000.0,755798,916027176000.0,2165714299491.85,1970000.0,135200.0,1.8153,87.0,
403870,2026-07-19,42500.0,3497750000000.0,1858498,78986165000.0,251228823877.5,83500.0,24500.0,0.284,88.69,
440110,2026-07-19,70400.0,3527140460800.0,454170,31973568000.0,77883883852.5,128300.0,11230.0,2.3129,97.52,
443060,2026-07-19,201000.0,9011525460000.0,113085,22730085000.0,35127829092.3,280500.0,159100.0,0.0458,59.09,
450080,2026-07-19,36500.0,2584706255000.0,243043,8871069500.0,19305651110.95,86400.0,35100.0,-0.2913,76.63,
453340,2026-07-19,18430.0,598451348410.0,27538,507525340.0,949066191.5,19300.0,14830.0,0.2205,28.96,
454910,2026-07-19,67000.0,4342938660000.0,365418,24483006000.0,50094272262.5,166700.0,58500.0,-0.1986,80.04,
950160,2026-07-19,62100.0,5276646936000.0,1575810,97857801000.0,38019503587.5,138800.0,36300.0,-0.1562,83.48,
