ticker,name,sector,gate_pass,gate_fail_reason,score_q,score_v,score_sr,score_r,score_m,composite_raw,composite_score,incumbent_bonus,grade,role_suggested,tier,satellite_track,is_held,data_gate,sleeve_weight_suggested,portfolio_weight_suggested,as_of
277810,레인보우로보틱스,unknown,True,,50.83,7.77,50.0,21.95,26.46,34.82,34.82,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
0126Z0,삼성에피스홀딩스,unknown,True,,50.83,54.09,50.0,13.5,1.12,47.87,47.87,0.0,C,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
323410,카카오뱅크,unknown,True,,50.83,64.06,50.0,10.0,17.14,50.51,50.51,0.0,C,value_defensive,—,False,False,YELLOW,4.0,1.24,2026-06-23
003490,대한항공,unknown,True,,50.83,77.24,50.0,27.68,58.18,56.23,56.23,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,1.24,2026-06-23
443060,HD현대마린솔루션,unknown,True,,50.83,33.22,50.0,21.22,27.38,42.38,42.38,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
039490,키움증권,unknown,True,,50.83,77.3,50.0,22.63,30.93,55.74,55.74,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,1.24,2026-06-23
028050,삼성E&A,unknown,True,,50.83,63.51,50.0,26.17,45.84,51.96,51.96,0.0,C,value_defensive,—,False,False,YELLOW,4.0,1.24,2026-06-23
047050,포스코인터내셔널,unknown,True,,50.83,70.16,50.0,12.35,17.52,52.57,52.57,0.0,C,value_defensive,—,False,False,YELLOW,4.0,1.24,2026-06-23
352820,하이브,unknown,True,,50.83,48.64,50.0,10.0,2.24,45.88,45.88,0.0,C,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
007660,이수페타시스,unknown,True,,50.83,27.61,50.0,26.44,7.83,41.22,41.22,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
036930,주성엔지니어링,unknown,True,,50.83,15.29,50.0,31.13,65.28,37.99,37.99,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
950160,코오롱티슈진,unknown,True,,50.83,50.0,50.0,27.24,33.54,48.01,48.01,0.0,C,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
047040,대우건설,unknown,True,,50.83,48.91,50.0,24.22,58.14,47.39,47.39,0.0,C,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
003230,삼양식품,unknown,True,,50.83,49.84,50.0,12.47,11.55,46.49,46.49,0.0,C,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
064400,LG씨엔에스,unknown,True,,50.83,56.87,50.0,18.36,33.17,49.19,49.19,0.0,C,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
000880,한화,unknown,True,,50.83,67.6,50.0,21.83,37.93,52.75,52.75,0.0,C,value_defensive,—,False,False,YELLOW,4.0,1.24,2026-06-23
240810,원익IPS,unknown,True,,50.83,25.81,50.0,33.71,72.68,49.45,49.45,0.0,C,value_quality,—,True,False,YELLOW,4.0,1.24,2026-06-23
005387,현대차2우B,unknown,True,,50.83,50.0,50.0,20.79,24.22,47.37,47.37,0.0,C,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
161390,한국타이어앤테크놀로지,unknown,True,,50.83,87.27,50.0,28.65,39.47,59.34,59.34,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,1.24,2026-06-23
180640,한진칼,unknown,True,,50.83,41.55,50.0,15.95,10.06,44.35,44.35,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,1.24,2026-06-23
